GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dataclay,es.bsc.dataclay.heap,DataClayIDFactory,1148,0,80,0,302,0,82,0,42,0
dataclay,es.bsc.dataclay.heap,ClientHeapManager,8,4,0,0,5,2,3,1,3,1
dataclay,es.bsc.dataclay.heap,LockerPool,182,15,26,0,40,5,17,2,4,2
dataclay,es.bsc.dataclay.heap,ExecutionEnvironmentHeapManager,897,0,94,0,183,0,59,0,12,0
dataclay,es.bsc.dataclay.heap,HeapManager,174,17,24,0,41,6,19,2,7,2
dataclay,es.bsc.dataclay.util.ids,StorageLocationID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,ImplementationID,12,21,1,1,5,10,3,3,2,3
dataclay,es.bsc.dataclay.util.ids,InterfaceID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,CredentialID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,ID,4,57,2,2,2,17,2,8,0,8
dataclay,es.bsc.dataclay.util.ids,NamespaceID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,ECAID,33,0,2,0,15,0,6,0,5,0
dataclay,es.bsc.dataclay.util.ids,DataClayInstanceID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,AccountID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,ResourceID,33,0,2,0,15,0,6,0,5,0
dataclay,es.bsc.dataclay.util.ids,SessionID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,DataContractID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,ContractID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,EventObjsMeetConditionID,33,0,2,0,15,0,6,0,5,0
dataclay,es.bsc.dataclay.util.ids,MetaClassID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,QualitativeRegistryID,33,0,2,0,15,0,6,0,5,0
dataclay,es.bsc.dataclay.util.ids,ExecutionEnvironmentID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,PropertyID,4,29,1,1,1,14,1,5,0,5
dataclay,es.bsc.dataclay.util.ids,EventMessageID,33,0,2,0,15,0,6,0,5,0
dataclay,es.bsc.dataclay.util.ids,OperationID,12,21,1,1,5,10,3,3,2,3
dataclay,es.bsc.dataclay.util.ids,DataSetID,21,12,2,0,9,6,4,2,3,2
dataclay,es.bsc.dataclay.util.ids,ObjectID,13,20,2,0,5,10,2,4,1,4
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,OperationDepInfoAlreadyRegisteredException,15,0,0,0,2,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,PropertyAlreadyInClassException,0,19,0,0,0,3,0,1,0,1
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,SetterOrGetterOperationsCannotBeRemoved,17,0,0,0,3,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,ImplementationNotExistException,44,0,0,0,4,0,2,0,2,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,PropertyNotExistException,17,19,0,0,2,2,1,1,1,1
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,AnnotationDepInfoAlreadyRegisteredException,15,0,0,0,2,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,UnsupportedLanguage,21,0,0,0,3,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,TypeDepInfoAlreadyRegisteredException,15,0,0,0,2,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,ClassInIncludesException,19,0,0,0,3,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,OperationNotInClassException,0,21,0,0,0,3,0,1,0,1
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,PropertyNotInClassException,0,21,0,0,0,3,0,1,0,1
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,ClassDepInfoAlreadyRegisteredException,15,0,0,0,2,0,1,0,1,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,ClassNotExistsException,32,0,0,0,4,0,2,0,2,0
dataclay,es.bsc.dataclay.exceptions.logicmodule.classmgr,NoMoreImplementationsInOperationException,21,0,0,0,4,0,1,0,1,0
